Timestamp,RightKneeAngle,RightHipAngle,Cadence,StrideLength
82.62,165.7,169.4,60.9,0.22
82.67,159.8,170.6,60.9,0.22
82.72,155.8,171.4,60.9,0.22
82.78,154.5,171.5,60.9,0.22
82.83,154.3,171.2,60.9,0.22
82.89,155.1,170.6,60.9,0.22
82.94,158.0,170.0,60.9,0.22
83.00,163.3,168.5,60.9,0.22
83.06,167.0,167.7,60.9,0.22
83.11,169.2,167.3,60.9,0.22
83.16,170.5,167.1,60.9,0.22
83.21,171.0,167.1,60.9,0.22
83.27,171.3,166.8,60.9,0.22
83.32,169.7,167.3,60.9,0.22
83.37,163.3,169.0,60.9,0.22
83.43,159.1,170.5,60.9,0.22
83.48,158.6,169.1,60.9,0.22
83.53,159.7,167.3,60.9,0.22
83.59,160.6,165.9,60.9,0.22
83.64,160.5,165.5,60.9,0.22
83.69,161.8,164.2,60.9,0.22
83.75,163.1,162.8,60.9,0.22
83.80,163.5,161.4,60.9,0.22
83.85,162.7,160.5,60.9,0.22
83.90,160.9,160.2,60.9,0.22
83.95,158.8,160.2,60.9,0.22
84.00,160.0,160.9,60.9,0.22
84.06,159.3,163.2,60.9,0.22
84.11,154.5,166.7,60.9,0.22
84.17,150.5,168.7,60.9,0.22
84.22,146.1,169.9,60.9,0.22
84.28,146.6,170.0,60.9,0.22
84.33,149.6,170.4,60.9,0.22
84.38,151.3,170.4,60.9,0.22
84.43,152.0,170.1,60.9,0.22
84.48,149.1,171.6,60.9,0.22
84.54,148.4,172.8,60.9,0.22
84.59,147.1,172.9,60.9,0.22
84.64,147.5,173.0,60.9,0.22
84.69,150.1,173.2,60.9,0.22
84.74,152.1,173.5,60.9,0.22
84.79,153.8,174.1,60.9,0.22
84.84,154.4,174.8,60.9,0.22
84.90,152.3,176.3,60.9,0.22
84.95,148.5,177.3,60.9,0.22
85.01,143.6,176.5,60.9,0.22
85.06,140.3,175.2,60.9,0.22
85.11,141.0,174.1,60.9,0.22
85.16,143.1,173.2,60.9,0.22
85.22,145.0,172.3,60.9,0.22
85.27,147.3,171.8,60.9,0.22
85.32,149.1,171.7,60.9,0.22
85.38,152.7,172.1,60.9,0.22
85.43,155.1,172.2,60.9,0.22
85.48,156.4,171.9,60.9,0.22
85.53,157.2,172.0,60.9,0.22
85.59,158.1,172.6,60.9,0.22
85.64,162.4,174.8,60.9,0.22
85.69,165.7,176.1,60.9,0.22
85.74,168.2,175.5,60.9,0.22
85.79,170.8,175.4,60.9,0.22
85.85,171.7,172.8,60.9,0.22
85.90,173.2,169.6,60.9,0.22
85.96,175.0,168.4,60.9,0.22
86.02,174.8,167.8,60.9,0.22
86.08,175.5,168.1,60.9,0.22
86.14,174.5,171.4,60.9,0.22
86.19,174.1,172.3,60.9,0.22
86.24,173.6,172.4,60.9,0.22
86.29,173.5,171.5,60.9,0.22
86.35,174.1,169.6,60.9,0.22
86.41,175.7,167.0,60.9,0.22
86.48,176.5,165.4,60.9,0.22
86.55,177.2,165.3,60.9,0.22
86.60,177.7,165.9,60.9,0.22
86.65,178.2,165.9,60.9,0.22
86.70,178.5,166.0,60.9,0.22
86.76,178.6,166.4,60.9,0.22
86.81,177.2,167.2,60.9,0.22
86.86,176.3,167.6,60.9,0.22
86.91,174.8,168.2,60.9,0.22
86.97,175.4,169.5,60.9,0.22
87.02,176.0,170.3,60.9,0.22
87.07,176.8,171.4,60.9,0.22
87.12,177.4,172.4,60.9,0.22
87.18,177.8,173.1,60.9,0.22
87.24,177.9,173.4,60.9,0.22
87.29,178.3,173.6,60.9,0.22
87.34,178.2,173.7,60.9,0.22
87.39,176.5,173.0,60.9,0.22
87.45,172.8,171.4,60.9,0.22
87.50,170.0,170.2,60.9,0.22
87.56,167.9,169.4,60.9,0.22
87.61,166.1,168.8,60.9,0.22
87.67,166.2,168.8,60.9,0.22
87.73,167.1,168.9,60.9,0.22
87.78,169.2,169.0,60.9,0.22
87.83,170.6,169.4,60.9,0.22
87.89,171.9,169.5,60.9,0.22
87.94,172.9,170.0,60.9,0.22
87.99,174.2,171.4,60.9,0.22
88.04,174.8,172.4,60.9,0.22
88.10,175.1,173.0,60.9,0.22
88.15,175.0,173.1,60.9,0.22
88.20,174.8,174.0,60.9,0.22
88.26,174.3,175.2,60.9,0.22
88.32,173.7,176.3,60.9,0.22
88.38,172.6,177.0,60.9,0.22
88.43,167.6,176.9,60.9,0.22
88.48,164.9,177.2,60.9,0.22
88.53,163.4,177.6,60.9,0.22
88.58,166.1,178.2,60.9,0.22
88.64,168.6,178.4,60.9,0.22
88.69,170.8,178.3,60.9,0.22
88.75,172.9,177.9,60.9,0.22
88.80,171.9,178.4,60.9,0.22
88.87,173.4,178.4,60.9,0.22
88.92,172.9,177.2,60.9,0.22
88.97,174.8,177.5,60.9,0.22
